City_ID,City,Country,Date,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
130,Hobart,AU,4/12/2022 3:18,-42.8794,147.3294,17.69,54,40,6.69,moderate rain
131,Katsuura,JP,4/12/2022 3:21,35.1333,140.3,19.63,76,0,6.16,clear sky
132,Lagoa,PT,4/12/2022 3:21,39.05,-27.9833,15.25,93,100,7.45,overcast clouds
133,Olginskaya,RU,4/12/2022 3:21,47.1879,39.9492,15.52,56,94,2.76,overcast clouds
134,Zhigansk,RU,4/12/2022 3:21,66.7697,123.3711,-12.84,84,51,5.44,broken clouds
135,San Cristobal,VE,4/12/2022 3:21,7.7669,-72.225,22.1,92,95,0.77,overcast clouds
136,Eresós,GR,4/12/2022 3:17,39.1667,25.9333,9.96,63,6,3.66,clear sky
137,Charagua,BO,4/12/2022 3:21,-19.8,-63.2167,20.88,95,85,0.5,overcast clouds
138,Uspenka,UA,4/12/2022 3:21,48.3903,39.1619,11.44,74,96,4.31,overcast clouds
139,Shahr-e Bābak,IR,4/12/2022 3:21,30.1165,55.1186,15.26,15,1,2.83,clear sky
140,Vostok,RU,4/12/2022 3:21,46.4856,135.8833,1.98,99,100,1.14,overcast clouds
141,Middlebury (village),US,4/12/2022 3:21,44.0153,-73.1673,8.71,69,90,2.65,overcast clouds
142,Manggar,ID,4/12/2022 3:21,-2.8833,108.2667,29.98,63,100,0.84,overcast clouds
143,Fairbanks,US,4/12/2022 3:20,64.8378,-147.7164,4.12,42,0,5.14,clear sky
144,Nhulunbuy,AU,4/12/2022 3:21,-12.2333,136.7667,32.34,66,40,8.75,scattered clouds
145,Flin Flon,CA,4/12/2022 3:21,54.7682,-101.865,-4.98,91,99,4.19,overcast clouds
146,Kahului,US,4/12/2022 3:16,20.8947,-156.47,25.87,73,40,8.23,scattered clouds
147,Katobu,ID,4/12/2022 3:21,-4.9408,122.5276,31.68,52,71,1.76,broken clouds
148,Valle Nacional,MX,4/12/2022 3:21,17.7833,-96.3167,26.63,59,59,1.1,broken clouds
149,Statesboro,US,4/12/2022 3:21,32.4488,-81.7832,19.01,52,0,3.6,clear sky
150,Lorengau,PG,4/12/2022 3:21,-2.0226,147.2712,29.83,65,10,4.34,clear sky
151,Makakilo City,US,4/12/2022 3:21,21.3469,-158.0858,25.84,60,75,10.29,broken clouds
152,Thompson,CA,4/12/2022 3:20,55.7435,-97.8558,-1.91,69,75,2.57,broken clouds
153,Jamestown,US,4/12/2022 3:18,42.097,-79.2353,11.75,73,100,3.09,mist
154,Āmlāgora,IN,4/12/2022 3:21,22.8333,87.3333,30.39,61,40,2.72,scattered clouds
155,Sinnamary,GF,4/12/2022 3:21,5.3833,-52.95,25,88,51,4.59,broken clouds
156,Erenhot,CN,4/12/2022 3:21,43.6475,111.9767,6.42,24,4,2.58,clear sky
157,Havre-St-Pierre,CA,4/12/2022 3:21,50.2334,-63.5986,2.2,64,0,3.09,clear sky
